sample,r,s,t,u,v,w,moisture(g)
80,286.95,29.63,88.2,48.87,33.5,17.96,7.24
81,419.04,55.18,106.94,65.72,48.58,28.06,10.82
82,928.04,98.1,103.03,59.82,58.63,33.67,8.59
83,572.76,60.29,108.5,62.35,49.42,29.18,6.44
84,772.03,61.31,128.01,70.78,55.28,28.06,7.48
85,683.22,57.22,125.67,69.94,53.6,29.18,6.95
86,710.55,80.72,116.3,69.09,57.79,32.55,6.27
87,286.95,41.9,113.96,67.41,44.39,25.82,6.17
88,419.04,50.07,103.03,63.2,46.9,26.94,6.5
89,404.24,40.87,105.38,61.51,44.39,26.49,7.49
90,765.2,79.7,99.91,58.98,51.09,29.18,6.05
91,453.2,42.92,113.18,63.2,43.55,22.45,5.35
92,618.31,69.48,127.23,67.41,48.58,24.69,5.83
93,869.96,74.59,110.84,64.04,56.95,31.43,7.19
94,957.64,87.88,111.62,64.88,62.02,34.8,7.82
95,953.09,121.6,109.28,64.88,61.98,34,10.22
96,316.56,40.87,89.77,54.77,36.01,21.33,14.9
97,721.93,78.67,103.82,59.82,51.09,26.94,9.99
98,255.07,38.83,95.57,53.93,33.5,17.96,7.81
99,863.13,97.07,103.82,62.35,56.12,30.31,12.56
100,409.93,52.11,103.82,60.67,43.55,23.57,8.9
101,1163.75,117.51,99.13,57.3,61.14,32.55,10.44
102,450.92,47,99.91,58.14,41.04,25.82,8.71
103,608.06,77.66,101.47,56.45,48.58,26.94,12.47
104,749.26,74.59,114.74,66.57,52.77,28.06,9.94
105,220.91,30.65,100.69,57.3,31.83,17.96,7.39
106,371.21,45.98,106.16,61.51,41.04,22.45,10.8
107,900.71,67.44,108.5,59.82,51.93,24.69,7.83
108,355.27,44.96,106.16,58.98,38.53,20.2,8.13
109,355.27,36.79,88.98,49.71,34.34,17.96,7.52
110,526.03,57.22,87.42,54.77,44.39,23.57,7.8
111,324.53,39.85,91.33,55.61,39.36,25.57,7.6
112,759.51,61.31,114.74,66.57,59.47,32.55,7.18
113,573.9,60.29,82.74,50.56,38.53,23.57,9.15
114,595.54,63.35,117.08,64.04,49.42,22.45,5.24
115,388.29,47,106.94,58.98,38.53,20.2,6.04
116,617.17,48.03,115.52,66.57,54.44,32.55,6.65
117,388.29,37.81,111.62,68.25,51.09,30.31,7.31
118,734.46,63.35,113.96,65.72,58.63,33.67,6.69
119,1173.99,108.31,117.87,69.09,69.52,38.16,7.42
120,256.21,37.81,100.69,57.3,36.01,20.2,8.31
121,667.27,71.53,105.38,61.51,50.25,25.82,13.52
122,562.52,68.46,124.11,66.57,47.74,23.57,5.71
